name,category,price,billed_per,notes
Giant Jenga,Games,75,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 956697. https://innovativeinflatables.com/all-categories/games-activities/giant-jenga/
Giant Operation,Games,350,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 956717. https://innovativeinflatables.com/all-categories/games-activities/giant-operation/
Golden Tee Golf,Games,1700,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 956763. https://innovativeinflatables.com/all-categories/games-activities/golden-tee-golf/
Hi-Striker,Games,350,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 956449. https://innovativeinflatables.com/all-categories/games-activities/hi-striker/
Hit The Bucket,Games,55,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 956799. https://innovativeinflatables.com/all-categories/games-activities/hit-the-bucket/
Horseshoe Toss,Games,85,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 2824233. https://innovativeinflatables.com/all-categories/games-activities/horseshoe-toss/
Horseshoes,Games,75,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 956779. https://innovativeinflatables.com/all-categories/games-activities/horse-shoes/
Indoor Mini Golf,Games,950,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 3200905. https://innovativeinflatables.com/all-categories/games-activities/indoor-mini-golf/
Leaping Lizard,Games,100,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 1725875. https://innovativeinflatables.com/all-categories/games-activities/leaping-lizard/
LED Air Hockey,Games,1000,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 1753599. https://innovativeinflatables.com/all-categories/games-activities/led-air-hockey/
LED Mini Golf,Games,1200,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 3200903. https://innovativeinflatables.com/all-categories/games-activities/led-mini-golf/
Mega Chess,Games,450,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 956453. https://innovativeinflatables.com/all-categories/games-activities/mega-chess/
MegaWire,Games,250,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 956733. https://innovativeinflatables.com/all-categories/games-activities/megawire/
Monster Dentist,Games,55,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 956711. https://innovativeinflatables.com/all-categories/games-activities/monster-dentist/
Monster Pong,Games,300,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 956357. https://innovativeinflatables.com/all-categories/games-activities/monster-pong/
Outlaw Knockdown,Games,85,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 2824235. https://innovativeinflatables.com/all-categories/games-activities/outlaw-knockdown/
Pixel Play,Games,450,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 956747. https://innovativeinflatables.com/all-categories/games-activities/pixel-play/
Play Back Simon,Games,350,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 960607. https://innovativeinflatables.com/all-categories/games-activities/play-back-simon/
Potty Toss,Games,55,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 956713. https://innovativeinflatables.com/all-categories/games-activities/potty-toss/
Putt-n-Win,Games,55,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 956461. https://innovativeinflatables.com/all-categories/games-activities/putt-n-win/
Quarterback Toss Non-Electronic,Games,250,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 956739. https://innovativeinflatables.com/all-categories/games-activities/quarterback-toss-non-electric/
Ring Toss,Games,95,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 956463. https://innovativeinflatables.com/all-categories/games-activities/ring-toss/
Roller Bowler,Games,95,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 956425. https://innovativeinflatables.com/all-categories/games-activities/roller-bowler/
Sharp Shooter,Games,85,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 2824237. https://innovativeinflatables.com/all-categories/games-activities/sharp-shooter/
Shuffleboard,Games,750,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 956759. https://innovativeinflatables.com/all-categories/games-activities/shuffleboard/
Silver Strike Bowling,Games,600,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 1086225. https://innovativeinflatables.com/all-categories/games-activities/silver-strike-bowling/
Slingshot - 4 Player Carnival Game,Games,125,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 1725881. https://innovativeinflatables.com/all-categories/games-activities/slingshot-4-player-carnival-game/
Snake Pit,Games,95,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 956457. https://innovativeinflatables.com/all-categories/games-activities/snake-pit/
Spin Art Cards,Games,150,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 956465. https://innovativeinflatables.com/all-categories/games-activities/spin-art-cards/
Spin Art Frisbees,Games,150,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 956467. https://innovativeinflatables.com/all-categories/games-activities/spin-art-frisbees/
Sports Zone 3-in-1,Games,350,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 3218333. https://innovativeinflatables.com/all-categories/games-activities/sports-zone-3-in-1/
Streetskee,Games,100,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 1725877. https://innovativeinflatables.com/all-categories/games-activities/streetskee/
Strike Zone,Games,95,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 956683. https://innovativeinflatables.com/all-categories/games-activities/strike-zone/
Strike-A-Light,Games,400,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 956689. https://innovativeinflatables.com/all-categories/games-activities/strike-a-light/
The Grand Carnival,Games,400,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 1318929. https://innovativeinflatables.com/all-categories/games-activities/the-grand-carnival/
The Grand Western,Games,475,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 2824231. https://innovativeinflatables.com/all-categories/games-activities/the-grand-western/
The Vault,Games,350,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 956731. https://innovativeinflatables.com/all-categories/games-activities/the-vault/
Tic Tac Toe,Games,55,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 956469. https://innovativeinflatables.com/all-categories/games-activities/tic-tac-toe/
Tri Air Hockey,Games,750,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 1424581. https://innovativeinflatables.com/all-categories/games-activities/tri-air-hockey/
Volleyball,Games,300,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Games & Activities. Supplier item ID 1845781. https://innovativeinflatables.com/all-categories/games-activities/volleyball/
Champion Obstacle Course,Inflatables,550,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Obstacle Courses. Supplier item ID 1733555. https://innovativeinflatables.com/all-categories/obstacle-courses/champion-course/
Crash Course Obstacle Course,Inflatables,950,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Obstacle Courses. Supplier item ID 956629. https://innovativeinflatables.com/all-categories/obstacle-courses/crash-course/
Double Dare Challenge Obstacle Course,Inflatables,600,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Obstacle Courses. Supplier item ID 1725711. https://innovativeinflatables.com/all-categories/obstacle-courses/double-dare-challenge/
Extreme X Obstacle Course,Inflatables,500,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Obstacle Courses. Supplier item ID 956725. https://innovativeinflatables.com/all-categories/obstacle-courses/extreme-x/
Terminator,Inflatables,350,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Obstacle Courses. Supplier item ID 956587. https://innovativeinflatables.com/all-categories/obstacle-courses/terminator/
The Spartan,Inflatables,475,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Obstacle Courses. Supplier item ID 1360853. https://innovativeinflatables.com/all-categories/obstacle-courses/the-spartan/
Toxic Challenge Obstacle Course,Inflatables,575,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Obstacle Courses. Supplier item ID 978441. https://innovativeinflatables.com/all-categories/obstacle-courses/toxic-challenge/
Ultimate Zone,Inflatables,950,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Obstacle Courses. Supplier item ID 3249047. https://innovativeinflatables.com/all-categories/obstacle-courses/ultimate-zone/
Vertical Rush Obstacle Course,Inflatables,900,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Obstacle Courses. Supplier item ID 956643. https://innovativeinflatables.com/all-categories/obstacle-courses/vertical-rush/
Warrior Challenge,Inflatables,575,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Obstacle Courses. Supplier item ID 956663. https://innovativeinflatables.com/all-categories/obstacle-courses/warrior-challenge/
X Run,Inflatables,850,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Obstacle Courses. Supplier item ID 1297105. https://innovativeinflatables.com/all-categories/obstacle-courses/x-run/
Certificate of Insurance,Planning Services,0,"per day (supplier starting price, PARTNER sourced, review before publishing)","Admin add-on, not a rentable product. Supplier shows $0 (quote on request). Supplier category: Other Services. Supplier item ID 956605. https://innovativeinflatables.com/all-categories/other-services/insurance-certificate/"
Digital Photo System,Photo and Video,1000,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Other Services. Supplier item ID 956535. https://innovativeinflatables.com/all-categories/other-services/digital-photo-system/
Glitter Tattoos,Entertainment,750,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Other Services. Supplier item ID 956375. https://innovativeinflatables.com/all-categories/other-services/glitter-tattoos/
Guitar Hero,Games,650,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Other Services. Supplier item ID 956617. https://innovativeinflatables.com/all-categories/other-services/guitar-hero/
Operator,Planning Services,85,"per day (supplier starting price, PARTNER sourced, review before publishing)","Staffing add-on (attendant), priced per supplier. Supplier category: Other Services. Supplier item ID 956471. https://innovativeinflatables.com/all-categories/other-services/operator/"
Rock Band,Games,1500,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Other Services. Supplier item ID 956613. https://innovativeinflatables.com/all-categories/other-services/rockband/
Rock Wall (Mechanical),Inflatables,1500,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Other Services. Supplier item ID 956563. https://innovativeinflatables.com/all-categories/other-services/rock-wall-mechanical/
Sky Dancer,Lighting and Decor,150,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Other Services. Supplier item ID 956721. https://innovativeinflatables.com/all-categories/other-services/sky-dancer/
Virtual Reality,Games,0,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier shows $0 (quote on request). Supplier category: Other Services. Supplier item ID 956565. https://innovativeinflatables.com/all-categories/other-services/virtual-reality/
Large Generator,Production and Effects,200,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Generators. Supplier item ID 956473. https://innovativeinflatables.com/all-categories/generators/large-generator/
